,id,text,is_retweet,original_author,time,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,is_quote_status,lang,retweet_count,favorite_count,longitude,latitude,place_id,place_full_name,place_name,place_type,place_country_code,place_country,place_contained_within,place_attributes,place_bounding_box,source_url,truncated,entities,extended_entities,handle
4775,723853244238278656,"Will be spending the day campaigning in Connecticut, another state where jobs are being stolen by other countries. I will stop this fast!",False,,2016-04-23T12:37:16,,,,False,en,4323,13401,,,,,,,,,,,,http://twitter.com/download/android,False,"{'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}",,realDonaldTrump
2883,751146264956395521,"Thank you Speaker @PRyan!
#AmericaFirst #Trump2016  https://t.co/PPsyxGPdFc",False,,2016-07-07T20:09:59,,,,True,en,4560,14701,,,,,,,,,,,,http://twitter.com/download/iphone,False,"{'user_mentions': [{'id_str': '733751245', 'name': 'Paul Ryan', 'id': 733751245, 'screen_name': 'PRyan', 'indices': [18, 24]}], 'symbols': [], 'urls': [{'display_url': 'twitter.com/pryan/status/7…', 'expanded_url': 'https://twitter.com/pryan/status/751072547316330496', 'indices': [52, 75], 'url': 'https://t.co/PPsyxGPdFc'}], 'hashtags': [{'text': 'AmericaFirst', 'indices': [26, 39]}, {'text': 'Trump2016', 'indices': [40, 50]}]}",,realDonaldTrump
3507,742418415047090176,"Congratulations to the 2016 #StanleyCup Champions, Pittsburgh @Penguins!",False,,2016-06-13T18:08:38,,,,False,en,7340,22250,,,,,,,,,,,,http://twitter.com/download/iphone,False,"{'user_mentions': [{'id_str': '15020865', 'name': 'Pittsburgh Penguins', 'id': 15020865, 'screen_name': 'penguins', 'indices': [62, 71]}], 'symbols': [], 'urls': [], 'hashtags': [{'text': 'StanleyCup', 'indices': [28, 39]}]}",,realDonaldTrump
5727,700784408870182913,#MakeAmericaGreatAgain #Trump2016 https://t.co/6hP6PzPkY5,False,,2016-02-19T20:49:57,,,,False,und,2683,6721,,,,,,,,,,,,http://twitter.com/download/iphone,False,"{'media': [{'display_url': 'pic.twitter.com/6hP6PzPkY5', 'expanded_url': 'http://twitter.com/realDonaldTrump/status/700784408870182913/photo/1', 'sizes': {'medium': {'h': 576, 'resize': 'fit', 'w': 1024}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'large': {'h': 576, 'resize': 'fit', 'w': 1024}, 'small': {'h': 383, 'resize': 'fit', 'w': 680}}, 'id_str': '700784402184404992', 'indices': [34, 57], 'id': 700784402184404992, 'url': 'https://t.co/6hP6PzPkY5', 'media_url_https': 'https://pbs.twimg.com/media/Cbmvs2xWAAANrRy.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/Cbmvs2xWAAANrRy.jpg'}], 'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': [{'text': 'MakeAmericaGreatAgain', 'indices': [0, 22]}, {'text': 'Trump2016', 'indices': [23, 33]}]}","{'media': [{'display_url': 'pic.twitter.com/6hP6PzPkY5', 'expanded_url': 'http://twitter.com/realDonaldTrump/status/700784408870182913/photo/1', 'sizes': {'medium': {'h': 576, 'resize': 'fit', 'w': 1024}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'large': {'h': 576, 'resize': 'fit', 'w': 1024}, 'small': {'h': 383, 'resize': 'fit', 'w': 680}}, 'id_str': '700784402184404992', 'indices': [34, 57], 'id': 700784402184404992, 'url': 'https://t.co/6hP6PzPkY5', 'media_url_https': 'https://pbs.twimg.com/media/Cbmvs2xWAAANrRy.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/Cbmvs2xWAAANrRy.jpg'}]}",realDonaldTrump
6038,693183469967560704,"Thank you for all of your support Iowa!
#MakeAmericaGreatAgain #Trump2016
#IACaucus finder: https://t.co/ANvTcZqfOq https://t.co/fQAxuMe01b",False,,2016-01-29T21:26:32,,,,False,en,2436,6448,,,,,,,,,,,,http://twitter.com/download/iphone,False,"{'media': [{'display_url': 'pic.twitter.com/fQAxuMe01b', 'expanded_url': 'http://twitter.com/realDonaldTrump/status/693183469967560704/photo/1', 'sizes': {'large': {'h': 1024, 'resize': 'fit', 'w': 826}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'medium': {'h': 744, 'resize': 'fit', 'w': 600}, 'small': {'h': 422, 'resize': 'fit', 'w': 340}}, 'id_str': '693183428267741184', 'indices': [116, 139], 'id': 693183428267741184, 'url': 'https://t.co/fQAxuMe01b', 'media_url_https': 'https://pbs.twimg.com/media/CZ6up8YWEAA95Dz.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CZ6up8YWEAA95Dz.jpg'}], 'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'donaldjtrump.com/iowa/caucus-fi…', 'expanded_url': 'https://www.donaldjtrump.com/iowa/caucus-finder/', 'indices': [92, 115], 'url': 'https://t.co/ANvTcZqfOq'}], 'hashtags': [{'text': 'MakeAmericaGreatAgain', 'indices': [40, 62]}, {'text': 'Trump2016', 'indices': [63, 73]}, {'text': 'IACaucus', 'indices': [74, 83]}]}","{'media': [{'display_url': 'pic.twitter.com/fQAxuMe01b', 'expanded_url': 'http://twitter.com/realDonaldTrump/status/693183469967560704/photo/1', 'sizes': {'large': {'h': 1024, 'resize': 'fit', 'w': 826}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'medium': {'h': 744, 'resize': 'fit', 'w': 600}, 'small': {'h': 422, 'resize': 'fit', 'w': 340}}, 'id_str': '693183428267741184', 'indices': [116, 139], 'id': 693183428267741184, 'url': 'https://t.co/fQAxuMe01b', 'media_url_https': 'https://pbs.twimg.com/media/CZ6up8YWEAA95Dz.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CZ6up8YWEAA95Dz.jpg'}, {'display_url': 'pic.twitter.com/fQAxuMe01b', 'expanded_url': 'http://twitter.com/realDonaldTrump/status/693183469967560704/photo/1', 'sizes': {'large': {'h': 419, 'resize': 'fit', 'w': 1023}, 'small': {'h': 139, 'resize': 'fit', 'w': 340}, 'medium': {'h': 246, 'resize': 'fit', 'w': 600}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'id_str': '693183428355846144', 'indices': [116, 139], 'id': 693183428355846144, 'url': 'https://t.co/fQAxuMe01b', 'media_url_https': 'https://pbs.twimg.com/media/CZ6up8tWcAAnvSy.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CZ6up8tWcAAnvSy.jpg'}, {'display_url': 'pic.twitter.com/fQAxuMe01b', 'expanded_url': 'http://twitter.com/realDonaldTrump/status/693183469967560704/photo/1', 'sizes': {'medium': {'h': 396, 'resize': 'fit', 'w': 600}, 'small': {'h': 224, 'resize': 'fit', 'w': 340}, 'large': {'h': 430, 'resize': 'fit', 'w': 652}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}}, 'id_str': '693183432747307008', 'indices': [116, 139], 'id': 693183432747307008, 'url': 'https://t.co/fQAxuMe01b', 'media_url_https': 'https://pbs.twimg.com/media/CZ6uqNEW0AAd4AR.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CZ6uqNEW0AAd4AR.jpg'}, {'display_url': 'pic.twitter.com/fQAxuMe01b', 'expanded_url': 'http://twitter.com/realDonaldTrump/status/693183469967560704/photo/1', 'sizes': {'large': {'h': 708, 'resize': 'fit', 'w': 1024}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'medium': {'h': 415, 'resize': 'fit', 'w': 600}, 'small': {'h': 235, 'resize': 'fit', 'w': 340}}, 'id_str': '693183434701803520', 'indices': [116, 139], 'id': 693183434701803520, 'url': 'https://t.co/fQAxuMe01b', 'media_url_https': 'https://pbs.twimg.com/media/CZ6uqUWWEAAxADg.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CZ6uqUWWEAAxADg.jpg'}]}",realDonaldTrump
1417,764122715812945920,Here's why Donald Trump might be refusing to release his tax returns: https://t.co/M4MSBonNyo,False,,2016-08-12T15:33:46,,,,False,en,4380,8033,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,False,"{'user_mentions': [], 'symbols': [], 'urls': [{'display_url': 'amp.twimg.com/v/f2400ac1-0f2…', 'expanded_url': 'https://amp.twimg.com/v/f2400ac1-0f2b-4fea-985c-a4ef5f30f967', 'indices': [70, 93], 'url': 'https://t.co/M4MSBonNyo'}], 'hashtags': []}",,HillaryClinton
3864,738026531692384256,The actions of Trump University employees to prey on the poor and naive are just completely repulsive. https://t.co/Cfqp60r4U5,True,morningmoneyben,2016-06-01T15:16:51,,,,False,en,737,1000,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,False,"{'user_mentions': [{'id_str': '135575282', 'name': 'Ben White', 'id': 135575282, 'screen_name': 'morningmoneyben', 'indices': [3, 19]}], 'symbols': [], 'urls': [], 'hashtags': []}",,HillaryClinton
1827,759079265233149953,"""This has been such an exciting...week!

We heard the man from Hope, Bill Clinton &amp; the man of hope, Barack Obama."" https://t.co/gefWILX2iW",False,,2016-07-29T17:32:54,,,,False,en,3727,17107,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,False,"{'media': [{'display_url': 'pic.twitter.com/gefWILX2iW', 'expanded_url': 'http://twitter.com/HillaryClinton/status/759079265233149953/photo/1', 'sizes': {'large': {'h': 1576, 'resize': 'fit', 'w': 2048}, 'medium': {'h': 923, 'resize': 'fit', 'w': 1200}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'small': {'h': 523, 'resize': 'fit', 'w': 680}}, 'id_str': '759078578415894528', 'indices': [120, 143], 'id': 759078578415894528, 'url': 'https://t.co/gefWILX2iW', 'media_url_https': 'https://pbs.twimg.com/media/CojJ8f8WgAAA0Ns.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CojJ8f8WgAAA0Ns.jpg'}], 'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}","{'media': [{'display_url': 'pic.twitter.com/gefWILX2iW', 'expanded_url': 'http://twitter.com/HillaryClinton/status/759079265233149953/photo/1', 'sizes': {'large': {'h': 1576, 'resize': 'fit', 'w': 2048}, 'medium': {'h': 923, 'resize': 'fit', 'w': 1200}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'small': {'h': 523, 'resize': 'fit', 'w': 680}}, 'id_str': '759078578415894528', 'indices': [120, 143], 'id': 759078578415894528, 'url': 'https://t.co/gefWILX2iW', 'media_url_https': 'https://pbs.twimg.com/media/CojJ8f8WgAAA0Ns.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CojJ8f8WgAAA0Ns.jpg'}]}",HillaryClinton
449,776796015466807296,My dad was born in Poland. Do you know how many people ever asked me whether or not I was born in America? Nobody ever asked me that.,True,SenSanders,2016-09-16T14:52:56,,,,False,en,49195,104428,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,False,"{'user_mentions': [{'id_str': '29442313', 'name': 'Bernie Sanders', 'id': 29442313, 'screen_name': 'SenSanders', 'indices': [3, 14]}], 'symbols': [], 'urls': [], 'hashtags': []}",,HillaryClinton
4578,726773343664377856,"Raise the minimum wage.
Ensure paid leave.
Protect union rights.

If we want to raise incomes, we have to stand with workers. #MayDay",False,,2016-05-01T14:00:42,,,,False,en,2214,5371,,,,,,,,,,,,http://twitter.com,False,"{'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': [{'text': 'MayDay', 'indices': [126, 133]}]}",,HillaryClinton
2312,757260083717935104,"""Donald will betray his supporters on every issue."" —@TedCruz on the @GOP nominee https://t.co/YO81aW6XZB",False,,2016-07-24T17:04:07,,,,False,en,2924,5288,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,False,"{'user_mentions': [{'id_str': '23022687', 'name': 'Ted Cruz', 'id': 23022687, 'screen_name': 'tedcruz', 'indices': [53, 61]}, {'id_str': '11134252', 'name': 'GOP', 'id': 11134252, 'screen_name': 'GOP', 'indices': [69, 73]}], 'symbols': [], 'urls': [{'display_url': 'amp.twimg.com/v/0c2f7cb9-2b8…', 'expanded_url': 'https://amp.twimg.com/v/0c2f7cb9-2b80-4ce3-927f-fb7ab43c5df7', 'indices': [82, 105], 'url': 'https://t.co/YO81aW6XZB'}], 'hashtags': []}",,HillaryClinton
2001,758498562854547456,"“As I’ve traveled this country…what I’ve also seen, more than anything, is what is right with America.” —@POTUS",False,,2016-07-28T03:05:24,,,,False,en,884,3223,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,False,"{'user_mentions': [{'id_str': '1536791610', 'name': 'President Obama', 'id': 1536791610, 'screen_name': 'POTUS', 'indices': [105, 111]}], 'symbols': [], 'urls': [], 'hashtags': []}",,HillaryClinton
3726,739803054476775424,"Just like I have been able to spend far less money than  others on the campaign and finish #1, so too should our country. We can be great!",False,,2016-06-06T12:56:07,,,,False,en,5407,17492,,,,,,,,,,,,http://twitter.com/download/android,False,"{'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}",,realDonaldTrump
1074,769207018045321216,"On this day in 1920, the 19th Amendment was adopted and many women won the right to vote. Let's break more ceilings. https://t.co/AGskZ5jhfK",False,,2016-08-26T16:16:58,,,,False,en,9597,24348,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,False,"{'media': [{'display_url': 'pic.twitter.com/AGskZ5jhfK', 'expanded_url': 'https://twitter.com/HillaryClinton/status/769207018045321216/photo/1', 'sizes': {'large': {'h': 562, 'resize': 'fit', 'w': 1180}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'medium': {'h': 562, 'resize': 'fit', 'w': 1180}, 'small': {'h': 324, 'resize': 'fit', 'w': 680}}, 'id_str': '769206960944054273', 'indices': [117, 140], 'id': 769206960944054273, 'url': 'https://t.co/AGskZ5jhfK', 'media_url_https': 'https://pbs.twimg.com/media/CqzFp9HUAAEmj-S.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CqzFp9HUAAEmj-S.jpg'}], 'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}","{'media': [{'display_url': 'pic.twitter.com/AGskZ5jhfK', 'expanded_url': 'https://twitter.com/HillaryClinton/status/769207018045321216/photo/1', 'sizes': {'large': {'h': 562, 'resize': 'fit', 'w': 1180}, 'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'medium': {'h': 562, 'resize': 'fit', 'w': 1180}, 'small': {'h': 324, 'resize': 'fit', 'w': 680}}, 'id_str': '769206960944054273', 'indices': [117, 140], 'id': 769206960944054273, 'url': 'https://t.co/AGskZ5jhfK', 'media_url_https': 'https://pbs.twimg.com/media/CqzFp9HUAAEmj-S.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CqzFp9HUAAEmj-S.jpg'}]}",HillaryClinton
2755,753272757467635712,"""I want...all of our children to grow up in a country where violence like the kind we saw last week doesn’t happen again” —Hillary",False,,2016-07-13T16:59:55,,,,False,en,926,3237,,,,,,,,,,,,https://about.twitter.com/products/tweetdeck,False,"{'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': []}",,HillaryClinton
5748,700310777681592320,#MakeAmericaGreatAgain #Trump2016 https://t.co/nrcrU08sQ6,False,,2016-02-18T13:27:55,,,,False,und,3201,6743,,,,,,,,,,,,http://twitter.com/download/iphone,False,"{'media': [{'display_url': 'pic.twitter.com/nrcrU08sQ6', 'expanded_url': 'http://twitter.com/realDonaldTrump/status/700310777681592320/photo/1', 'sizes': {'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'medium': {'h': 250, 'resize': 'fit', 'w': 600}, 'large': {'h': 351, 'resize': 'fit', 'w': 843}, 'small': {'h': 142, 'resize': 'fit', 'w': 340}}, 'id_str': '700310766600196097', 'indices': [34, 57], 'id': 700310766600196097, 'url': 'https://t.co/nrcrU08sQ6', 'media_url_https': 'https://pbs.twimg.com/media/CbgA7ouWEAEAV2r.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CbgA7ouWEAEAV2r.jpg'}], 'user_mentions': [], 'symbols': [], 'urls': [], 'hashtags': [{'text': 'MakeAmericaGreatAgain', 'indices': [0, 22]}, {'text': 'Trump2016', 'indices': [23, 33]}]}","{'media': [{'display_url': 'pic.twitter.com/nrcrU08sQ6', 'expanded_url': 'http://twitter.com/realDonaldTrump/status/700310777681592320/photo/1', 'sizes': {'thumb': {'h': 150, 'resize': 'crop', 'w': 150}, 'medium': {'h': 250, 'resize': 'fit', 'w': 600}, 'large': {'h': 351, 'resize': 'fit', 'w': 843}, 'small': {'h': 142, 'resize': 'fit', 'w': 340}}, 'id_str': '700310766600196097', 'indices': [34, 57], 'id': 700310766600196097, 'url': 'https://t.co/nrcrU08sQ6', 'media_url_https': 'https://pbs.twimg.com/media/CbgA7ouWEAEAV2r.jpg', 'type': 'photo', 'media_url': 'http://pbs.twimg.com/media/CbgA7ouWEAEAV2r.jpg'}]}",realDonaldTrump
